houses
City;locality;Type of property;Price;Bed rooms;Living Area;Fully equipped kitchen;Furnished;Terrace;Garden; Surface Area of the plot;Number of facade;Swimming pool;State of the building
aalter;;house;an starting;3;148 m²;Installed;No;20  m²  square meters;250  m²  square meters;692  m²  square meters;4;;Good
idegem;;house;399,90 €;6;300 m²;Hyper equipped;;20  m²  square meters;1400  m²  square meters;1729  m²  square meters;4;;Good
aalter;;house;an starting;3;148 m²;Installed;No;20  m²  square meters;250  m²  square meters;692  m²  square meters;4;;Good
zelzate;;house;350,00 €;4;165 m²;Installed;;0;800  m²  square meters;1192  m²  square meters;4;;
leopoldsburg;;house;250,00 €;3;128 m²;USA installed;No;40  m²  square meters;230  m²  square meters;397  m²  square meters;3;;
tessenderlo;;house;349,00 €;4;259 m²;USA hyper equipped;;0;0;809  m²  square meters;4;;Good
bruxelles;;apartment;530,00 €;2;148 m²;USA hyper equipped;No;13  m²  square meters;0;;2;No;As new
bruxelles;;apartment;510,00 €;2;;USA hyper equipped;No;8  m²  square meters;0;;2;No;As new
hoeilaart;;exceptional-property;2,490,000 €;5;719 m²;USA hyper equipped;;0;0;13263  m²  square meters;4;Yes;As new
le%20roeulx;;mansion;an starting;6;337 m²;;;54  m²  square meters;738  m²  square meters;945  m²  square meters;3;;Good
qui%C3%A9vrain;;house;185,00 €;3;86 m²;;No;24  m²  square meters;59  m²  square meters;137  m²  square meters;3;;Good
jemeppe%20%28-sur-meuse%29;;house;169,00 €;5;176 m²;Installed;No;15  m²  square meters;0;98  m²  square meters;2;;To be done up
li%C3%A8ge;;house;375,00 €;5;207 m²;;;0;87  m²  square meters;183  m²  square meters;2;;To be done up
jodoigne;Jodoigne;house;435,00 €;4;178 m²;USA hyper equipped;No;24  m²  square meters;1237  m²  square meters;1299  m²  square meters;4;No;Just renovated
rhode-saint-genese;Grand Rhode;villa;670,00 €;4;167 m²;Hyper equipped;No;53  m²  square meters;350  m²  square meters;650  m²  square meters;4;No;As new
lasne;;exceptional-property;1,765,000 €;8;603 m²;USA hyper equipped;No;60  m²  square meters;2140  m²  square meters;2512  m²  square meters;4;Yes;As new
tintigny;;duplex;230,00 €;2;93 m²;Semi equipped;;0;0;;3;;Good
tintigny;;duplex;230,00 €;2;99 m²;Semi equipped;;0;0;;;;Good
laeken;Pagodes;villa;575,00 €;3;240 m²;Installed;No;0;75  m²  square meters;317  m²  square meters;3;No;Good
waremme;Waremme et 5 kms;country-cottage;250,00 €;3;125 m²;;No;0;0;340  m²  square meters;3;;To renovate
blankenberge;;flat-studio;215,00 €;;39 m²;Installed;Yes;0;0;;4;;Good
tienen;;mansion;;4;190 m²;Installed;;0;88  m²  square meters;156  m²  square meters;2;No;As new
steenokkerzeel;Vlaams-Brabant Noorden;villa;649,00 €;4;200 m²;USA hyper equipped;No;35  m²  square meters;865  m²  square meters;1000  m²  square meters;4;;As new
ixelles;Abbaye de la Cambre;penthouse;200,00 €;1;44 m²;Semi equipped;No;8  m²  square meters;0;;2;;To be done up
wichelen;;bungalow;415,00 €;3;125 m²;Semi equipped;;0;1512  m²  square meters;1812  m²  square meters;4;;To renovate
ruisbroek;;duplex;320,00 €;3;106 m²;USA hyper equipped;No;4  m²  square meters;0;;;No;
brasschaat;;penthouse;339,00 €;2;106 m²;Installed;;44  m²  square meters;0;;3;;Good
bierghes;;villa;1,695,000 €;5;720 m²;Installed;;0;0;3366  m²  square meters;4;;Good
hamois%20schaltin;;country-cottage;365,00 €;2;161 m²;Semi equipped;No;0;0;1622  m²  square meters;4;No;Good
oudenaarde;;villa;380,00 €;5;300 m²;Semi equipped;;0;0;930  m²  square meters;4;;To renovate
antwerp;;ground-floor;169,00 €;2;61 m²;Installed;;0;0;;3;;Just renovated
deurne;Nieuw Borgerhout;ground-floor;234,00 €;1;71 m²;Installed;;0;61  m²  square meters;;2;;As new
borgerhout;Nieuw Borgerhout;ground-floor;234,00 €;1;71 m²;Installed;;0;61  m²  square meters;;2;;As new
brugge;;loft;699,00 €;3;181 m²;Hyper equipped;No;0;0;;3;No;As new
waterloo;Quartier Joli-Bois;villa;640,00 €;4;200 m²;Installed;No;0;0;658  m²  square meters;4;;Good
hasselt;;villa;570,00 €;4;239 m²;Installed;;0;0;714  m²  square meters;4;;Good
sint-lenaarts;;villa;595,00 €;4;258 m²;Installed;;100  m²  square meters;224  m²  square meters;908  m²  square meters;4;;Good
antwerp;;flat-studio;139,00 €;1;30 m²;Hyper equipped;;6  m²  square meters;0;;2;;Good
schaerbeek;Bruxelles;flat-studio;155,00 €;;32 m²;Installed;Yes;13  m²  square meters;0;;2;No;Good
oupeye;Oupeye;duplex;an starting;4;119 m²;Not installed;No;0;649  m²  square meters;;3;No;To renovate
bioul;;bungalow;179,00 €;2;93 m²;Semi equipped;;0;0;1517  m²  square meters;4;;Good
bruxelles;;flat-studio;185,00 €;1;37 m²;USA installed;Yes;3  m²  square meters;0;;2;No;Good
schaerbeek;Bruxelles Est;flat-studio;185,00 €;;53 m²;Hyper equipped;No;4  m²  square meters;0;;2;No;As new
waterloo;Brabant Wallon;flat-studio;195,00 €;1;47 m²;Not installed;No;23  m²  square meters;0;;2;No;To be done up
jauchelette;Jodoigne;house;580,00 €;4;282 m²;Installed;No;122  m²  square meters;1353  m²  square meters;1512  m²  square meters;4;Yes;Good
%C2%A9nines;Jodoigne;house;235,00 €;5;117 m²;Installed;No;14  m²  square meters;248  m²  square meters;302  m²  square meters;3;No;Good
jette;;apartment;an starting;2;66 m²;Installed;No;7  m²  square meters;0;;2;No;Good
koekelberg;Bruxelles-Ouest;ground-floor;an starting;2;110 m²;Hyper equipped;No;17  m²  square meters;95  m²  square meters;;2;No;As new
anderlecht;;villa;690,00 €;5;340 m²;;No;0;200  m²  square meters;989  m²  square meters;3;;Good
antwerp;;apartment;220,00 €;1;60 m²;;;0;0;;2;;As new
westerlo;;house;365,00 €;3;;Hyper equipped;;0;0;;3;;As new
westerlo;Gunther;house;265,00 €;2;112 m²;;No;0;0;586  m²  square meters;4;;
westerlo;Gunther;house;425,00 €;3;207 m²;Hyper equipped;No;0;0;716  m²  square meters;4;;
meerhout;;house;1,100,000 €;4;325 m²;;;0;0;26595  m²  square meters;4;;
westerlo;Gunther;house;575,00 €;4;233 m²;Installed;No;0;0;6634  m²  square meters;4;;Good
rotselaar;;house;539,00 €;5;273 m²;Hyper equipped;No;0;0;772  m²  square meters;3;;Good
