id,Neighbourhood or locality,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
10439083,,knokke-heist,8300,apartment,apartment,1850000,for sale,3.0,125  m² square meters,Hyper equipped,,,Yes,,,,,3.0,No,As new
10395889,,knokke-heist,8300,apartment,apartment,1885000,for sale,3.0,115  m² square meters,USA hyper equipped,Yes,,,30  m²  square meters,,,,2.0,No,As new
10261281,,knokke-heist,8300,apartment,apartment,1995000,for sale,4.0,141  m² square meters,Hyper equipped,,,Yes,,,,,3.0,No,Just renovated
10263383,,merelbeke,9820,apartment,apartment,2100000,for sale,2.0,690  m² square meters,,No,,Yes,,Yes,,,3.0,No,As new
10439081,,knokke-zoute,8300,apartment,apartment,2125000,for sale,3.0,117  m² square meters,Hyper equipped,No,,Yes,,Yes,,,4.0,No,As new
10486411,,knokke,8300,apartment,apartment,2250000,for sale,2.0,84  m² square meters,Hyper equipped,Yes,,Yes,,,,,2.0,,As new
9998137,,het%20zoute,8300,apartment,duplex,2350000,for sale,2.0,121  m² square meters,,No,,,14  m²  square meters,,,,2.0,No,As new
10503740,,schilde,2970,apartment,apartment,2480000,for sale,2.0,290  m² square meters,,,,,150  m²  square meters,,,,,,As new
10530546,,uccle,1180,apartment,apartment,2490000,for sale,4.0,320  m² square meters,Installed,,,Yes,,,,,4.0,,To be done up
10467129,,knokke,8300,apartment,apartment,4295000,for sale,3.0,163  m² square meters,Hyper equipped,No,,,17  m²  square meters,,,,2.0,,As new
10569534,,niel,2845,apartment,apartment,289100,for sale,2.0,99  m² square meters,,No,,,9  m²  square meters,,,,,,
10569042,,tournai,7500,apartment,apartment,195000,for sale,2.0,,Not installed,,,,36  m²  square meters,,,,,,
10569270,,koekelberg,1081,apartment,apartment,239000,for sale,2.0,82  m² square meters,USA hyper equipped,,,,11  m²  square meters,,,,3.0,No,As new
10568863,,forest,1190,apartment,apartment,340000,for sale,2.0,126  m² square meters,Installed,No,,,3  m²  square meters,,,,2.0,,Good
10567642,,braine-l%27alleud,1420,apartment,apartment,395000,for sale,3.0,160  m² square meters,,No,,,,,,,2.0,,Good
10552721,,li%C3%A8ge,4000,apartment,apartment,179000,for sale,2.0,97  m² square meters,,No,,,,,,,2.0,No,Good
10573592,,etterbeek,1040,apartment,apartment,205000,for sale,3.0,116  m² square meters,Installed,,,,24  m²  square meters,,,,,,To renovate
10459292,,schoten,2900,apartment,penthouse,238000,for sale,2.0,82  m² square meters,,,,Yes,,,,,3.0,,
10574404,,sint-amandsberg,9040,apartment,apartment,363000,for sale,3.0,161  m² square meters,USA installed,No,,,,,,,3.0,,Good
10575971,,lokeren,9160,apartment,apartment,849000,for sale,7.0,,Installed,No,,,,,,,3.0,,
9828729,,waregem,8790,apartment,apartment,95000,for sale,1.0,,,,,,,,,,,No,To be done up
10557944,,knokke,8300,apartment,apartment,569000,for sale,2.0,115  m² square meters,,No,,,,,,,,No,As new
10557586,,antwerp,2000,apartment,apartment,1250000,for sale,2.0,206  m² square meters,,No,,,50  m²  square meters,,,,,,
10557708,,bruxelles,1000,apartment,apartment,1295000,for sale,3.0,250  m² square meters,USA hyper equipped,No,,,47  m²  square meters,,,,3.0,Yes,As new
10577804,,blankenberge,8370,apartment,duplex,348000,for sale,2.0,125  m² square meters,,Yes,,,11  m²  square meters,,,,2.0,No,Good
10149505,,trazegnies,6183,apartment,flat studio,134000,for sale,,31  m² square meters,Hyper equipped,,,,5  m²  square meters,,,,,,
